age,education_level,experience_years,tech_skill_score,soft_skill_score,career_path
32,4,1,1,5,Cybersecurity Analyst
25,4,2,3,5,Database Administrator
37,3,0,3,2,Database Administrator
36,4,3,1,2,Mobile Developer
35,4,3,3,3,Mobile Developer
43,1,8,2,1,Database Administrator
35,3,8,4,5,Web Developer
25,2,8,4,3,Mobile Developer
41,1,9,4,4,Web Developer
34,3,6,2,4,Software Engineer
22,1,1,3,3,DevOps Engineer
31,2,9,5,5,IT Support
39,2,4,3,3,Mobile Developer
27,3,3,1,5,Database Administrator
26,2,7,4,2,DevOps Engineer
22,1,1,3,3,DevOps Engineer
26,2,5,5,5,Data Scientist
38,1,4,1,3,Database Administrator
22,1,1,2,3,IT Support
38,2,9,2,5,Database Administrator
35,3,0,5,5,Mobile Developer
39,4,7,1,1,AI Engineer
22,2,1,4,3,Software Engineer
40,1,6,3,4,Web Developer
26,1,8,1,3,AI Engineer
21,2,8,2,3,Software Engineer
44,3,7,5,5,AI Engineer
35,3,9,5,3,Web Developer
43,1,8,3,3,Cybersecurity Analyst
30,1,1,5,4,Database Administrator
39,3,5,5,5,AI Engineer
37,4,3,1,3,Mobile Developer
25,2,3,4,2,IT Support
24,1,4,3,1,UI/UX Designer
30,1,2,1,4,Mobile Developer
44,3,0,4,3,Web Developer
37,2,7,1,2,IT Support
30,3,4,1,3,Mobile Developer
37,2,2,5,3,DevOps Engineer
40,2,9,4,5,Database Administrator
44,2,6,3,5,IT Support
25,1,6,3,5,DevOps Engineer
22,4,0,4,2,Mobile Developer
26,3,8,5,3,Software Engineer
41,4,1,2,1,Data Scientist
22,3,4,1,4,Software Engineer
33,2,4,5,5,Database Administrator
31,1,7,4,5,IT Support
31,4,7,1,3,IT Support
36,1,6,3,3,Database Administrator
31,3,6,2,2,DevOps Engineer
39,1,5,3,2,Data Scientist
35,1,5,4,5,Mobile Developer
43,4,8,1,3,Web Developer
43,2,5,4,1,Software Engineer
36,1,1,1,4,Software Engineer
31,2,1,5,3,UI/UX Designer
42,3,4,2,3,Data Scientist
36,1,3,5,2,Web Developer
28,4,1,5,4,Software Engineer
24,3,2,4,5,Web Developer
28,3,6,2,3,Mobile Developer
24,4,7,1,5,IT Support
44,1,5,1,3,Web Developer
23,1,4,3,5,Software Engineer
23,3,0,1,4,DevOps Engineer
38,1,7,4,2,Data Scientist
39,2,2,5,4,Database Administrator
39,4,5,5,1,AI Engineer
41,2,2,5,2,Cybersecurity Analyst
25,1,6,2,4,Cybersecurity Analyst
38,3,6,1,1,AI Engineer
30,4,8,4,3,Web Developer
42,1,4,2,3,Data Scientist
41,1,7,3,5,Web Developer
26,3,9,4,2,Database Administrator
21,3,9,4,3,Data Scientist
25,2,7,4,2,AI Engineer
29,4,0,5,3,Web Developer
32,4,4,4,5,UI/UX Designer
34,3,2,1,4,Software Engineer
22,2,0,4,5,DevOps Engineer
37,4,3,5,1,IT Support
34,3,7,4,3,DevOps Engineer
33,1,2,3,1,Database Administrator
29,4,9,3,1,Web Developer
35,2,1,5,2,Mobile Developer
42,2,8,1,3,Data Scientist
35,2,9,1,1,Web Developer
44,1,4,2,4,Data Scientist
31,4,6,5,1,IT Support
36,4,1,4,4,UI/UX Designer
37,1,8,5,2,DevOps Engineer
24,4,8,2,1,Software Engineer
21,1,3,5,5,IT Support
28,1,3,5,2,IT Support
37,1,5,2,4,DevOps Engineer
23,2,9,1,2,IT Support
40,4,9,4,1,Mobile Developer
35,1,9,2,3,Mobile Developer
35,4,5,3,3,Cybersecurity Analyst
44,2,0,1,4,Cybersecurity Analyst
42,1,8,3,4,Mobile Developer
34,3,1,1,3,AI Engineer
43,2,4,4,4,UI/UX Designer
34,3,8,4,2,Data Scientist
44,4,3,5,5,UI/UX Designer
22,4,2,3,5,Database Administrator
33,2,6,1,2,IT Support
34,4,5,4,5,Software Engineer
44,3,7,2,1,IT Support
39,1,2,4,2,UI/UX Designer
27,1,4,2,4,Mobile Developer
23,1,9,1,2,DevOps Engineer
35,2,3,4,3,Database Administrator
43,4,3,4,4,Mobile Developer
34,3,3,1,3,UI/UX Designer
31,4,9,4,4,DevOps Engineer
35,4,7,2,5,Software Engineer
33,4,5,4,2,UI/UX Designer
38,1,2,3,1,Data Scientist
26,3,9,5,4,Web Developer
23,3,4,2,4,DevOps Engineer
39,4,5,3,3,UI/UX Designer
35,1,4,1,5,Mobile Developer
43,1,5,2,3,Data Scientist
25,3,7,5,3,AI Engineer
30,1,6,5,5,DevOps Engineer
27,1,4,1,1,Data Scientist
37,1,9,1,3,Mobile Developer
27,2,5,2,3,UI/UX Designer
42,4,3,4,4,IT Support
32,3,8,1,5,Software Engineer
37,3,3,4,2,IT Support
33,2,0,3,1,Web Developer
40,4,6,5,1,Data Scientist
24,3,6,4,5,Web Developer
30,1,3,5,4,Software Engineer
23,3,2,4,4,Data Scientist
29,1,7,3,5,Cybersecurity Analyst
33,2,4,1,4,Mobile Developer
38,1,9,3,1,Data Scientist
35,3,6,1,1,Mobile Developer
24,3,3,1,2,IT Support
35,3,3,5,5,Database Administrator
42,2,7,3,3,DevOps Engineer
22,2,7,4,3,Database Administrator
35,4,1,3,2,UI/UX Designer
28,3,1,5,2,DevOps Engineer
28,1,2,1,4,DevOps Engineer
37,2,2,5,2,AI Engineer
32,3,0,2,2,DevOps Engineer
39,3,2,2,3,Software Engineer
30,2,5,4,4,Database Administrator
29,4,7,5,2,IT Support
25,2,9,4,2,Mobile Developer
26,2,5,4,4,UI/UX Designer
40,1,4,2,5,DevOps Engineer
22,1,3,4,4,UI/UX Designer
44,4,2,2,3,IT Support
33,3,3,1,5,UI/UX Designer
26,2,6,5,1,IT Support
25,4,0,4,4,DevOps Engineer
21,1,6,2,3,IT Support
41,2,0,3,5,DevOps Engineer
42,3,1,4,4,AI Engineer
41,1,3,1,2,AI Engineer
26,1,0,1,4,IT Support
26,1,8,3,1,AI Engineer
43,4,5,2,4,Mobile Developer
36,3,0,4,5,Mobile Developer
24,2,0,2,5,AI Engineer
31,4,5,1,4,AI Engineer
44,4,3,2,5,Cybersecurity Analyst
43,4,3,1,2,Cybersecurity Analyst
29,1,5,2,4,DevOps Engineer
43,3,6,3,2,IT Support
23,4,8,5,2,Web Developer
39,2,9,3,3,Web Developer
28,3,4,3,4,AI Engineer
25,2,8,5,5,UI/UX Designer
24,3,3,5,2,AI Engineer
44,2,9,4,3,Cybersecurity Analyst
26,1,1,4,4,DevOps Engineer
22,4,2,3,4,AI Engineer
40,2,0,3,1,Database Administrator
31,3,5,1,1,UI/UX Designer
24,4,5,1,2,Database Administrator
35,4,0,4,1,DevOps Engineer
26,3,2,4,2,DevOps Engineer
42,2,4,1,5,Mobile Developer
37,1,2,1,2,Data Scientist
44,1,9,2,1,Database Administrator
26,2,2,2,5,Mobile Developer
39,4,9,1,1,Cybersecurity Analyst
22,4,2,2,2,Software Engineer
35,4,4,5,3,UI/UX Designer
31,4,4,4,4,Software Engineer
28,2,3,4,1,IT Support
39,4,0,1,2,Cybersecurity Analyst
33,3,4,3,5,Cybersecurity Analyst
32,4,9,1,1,Software Engineer
25,1,4,2,1,Database Administrator
26,4,3,3,4,Data Scientist
42,2,5,2,2,Database Administrator
24,1,9,5,3,Software Engineer
39,2,3,2,5,IT Support
40,2,6,5,2,Database Administrator
21,1,6,5,5,Web Developer
40,2,1,2,1,Database Administrator
37,2,2,2,4,DevOps Engineer
32,4,0,5,4,Mobile Developer
